漢字,羅馬字
四百,sì-pah
第四百,tē-sì-pah
五百,gōo-pah
第五百,tē-gōo-pah
六百,la̍k-pah
第六百,tē-la̍k-pah
七百,tshit-pah
第七百,tē-tshit-pah
八百,peh-pah
第八百,tē-peh-pah
九百,káu-pah
第九百,tē-káu-pah
一千,tsi̍t-tshing
第一千,tē-tsi̍t-tshing
兩千,nn̄g-tshing
第兩千,tē-nn̄g-tshing
三千,sann-tshing
第三千,tē-sann-tshing
四千,sì-tshing
第四千,tē-sì-tshing
五千,gōo-tshing
第五千,tē-gōo-tshing
六千,la̍k-tshing
第六千,tē-la̍k-tshing
七千,tshit-tshing
第七千,tē-tshit-tshing
八千,peh-tshing
第八千,tē-peh-tshing
九千,káu-tshing
第九千,tē-káu-tshing
一萬,tsi̍t-bān
第一萬,tē-tsi̍t-bān
兩萬,nn̄g-bān
第兩萬,tē-nn̄g-bān
三萬,sann-bān
第三萬,tē-sann-bān
四萬,sì-bān
第四萬,tē-sì-bān
五萬,gōo-bān
第五萬,tē-gōo-bān
六萬,la̍k-bān
第六萬,tē-la̍k-bān
七萬,tshit-bān
第七萬,tē-tshit-bān
八萬,peh-bān
第八萬,tē-peh-bān
九萬,káu-bān
第九萬,tē-káu-bān
一億,tsi̍t-ik
第一億,tē-tsi̍t-ik
兩億,nn̄g-ik
第兩億,tē-nn̄g-ik
三億,sann-ik
第三億,tē-sann-ik
四億,sì-ik
第四億,tē-sì-ik
五億,gōo-ik
第五億,tē-gōo-ik
六億,la̍k-ik
第六億,tē-la̍k-ik
七億,tshit-ik
第七億,tē-tshit-ik
八億,peh-ik
第八億,tē-peh-ik
九億,káu-ik
第九億,tē-káu-ik
一兆,tsi̍t-tiāu
第一兆,tē-it-tiāu
兩兆,nn̄g-tiāu
第兩兆,tē-nn̄g-tiāu
三兆,sann-tiāu
第三兆,tē-sann-tiāu
四兆,sì-tiāu
第四兆,tē-sì-tiāu
五兆,gōo-tiāu
第五兆,tē-gōo-tiāu
六兆,la̍k-tiāu
第六兆,tē-la̍k-tiāu
七兆,tshit-tiāu
第七兆,tē-tshit-tiāu
八兆,peh-tiāu
第八兆,tē-peh-tiāu
九兆,káu-tiāu
第九兆,tē-káu-tiāu
十外,tsa̍p-guā
十幾,tsa̍p-kuí
十捅,tsa̍p-thóng
十一,tsa̍p-it
十二,tsa̍p-jī
十三,tsa̍p-sann
十四,tsa̍p-sì
十五,tsa̍p-gōo
十六,tsa̍p-la̍k
十七,tsa̍p-tshit
十八,tsa̍p-peh
十九,tsa̍p-káu
幾十,kuí-tsa̍p
萬外,bān-guā
萬幾,bān-kuí
萬捅,bān-thóng
萬一,bān-it
萬二,bān-jī
萬三,bān-sann
萬四,bān-sì
萬五,bān-gōo
萬六,bān-la̍k
萬七,bān-tshit
萬八,bān-peh
萬九,bān-káu
幾萬,kuí-bān
百外,pah-guā
百幾,pah-kuí
百捅,pah-thóng
百一,pah-it
百二,pah-lī
百三,pah-sann
百四,pah-sì
百五,pah-gōo
百六,pah-la̍k
百七,pah-tshit
百八,pah-peh
百九,pah-káu
幾百,kuí-pah
千外,tshing-guā
千幾,tshian-kuí
千捅,tshian-thóng
千一,tshian-it
千二,tshian-jī
千三,tshing-sann
千四,tshian-sì
千五,tshian-gōo
千六,tshian-la̍k
千七,tshian-tshit
千八,tshian-peh
千九,tshing-káu
幾千,kuí-tshing
